timestamp,num_ues,IMSI,RNTI,slicing_enabled,slice_id,slice_prb,power_multiplier,scheduling_policy,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate_downlink,tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_rssi,ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,dl_pmi,dl_ri,ul_n,ul_turbo_iters
20.0,5,1010123456002,74,1,2,8,1,0,18.0,9,0,0.015456,3,0,13.8333,1.41176,17,0,0.1,7,0.0,0,12.4533,31,8,12,0,0,0,1.0
20.25,5,1010123456002,74,1,2,8,1,0,12.0,5,0,0.005312,2,0,13.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,4,4,0,0,0,0.0
20.5,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.005152,1,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
20.75,5,1010123456002,74,1,2,8,1,0,18.0,8,0,0.015456,3,0,13.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,9,12,0,0,0,0.0
21.0,5,1010123456002,74,1,2,8,1,0,18.0,11,0,0.020608,4,0,13.3333,1.24,25,0,0.1,10,0.0,0,10.0252,31,11,16,0,0,0,1.0
21.25,5,1010123456002,74,1,2,8,1,0,18.0,11,0,0.020608,4,0,13.8333,0.0,0,0,0.0,0,0.0,0,0.0,0,12,16,0,0,0,0.0
21.5,5,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,13.4286,0.0,0,0,0.0,0,0.0,0,0.0,0,8,8,0,0,0,0.0
21.75,5,1010123456002,74,1,2,8,1,0,6.52,25,0,0.016288,9,0,10.6667,0.0,0,0,0.0,0,0.0,0,0.0,0,8,54,0,0,0,0.0
22.0,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
22.25,5,1010123456002,74,1,2,8,1,0,4.83333,30,0,0.01648,10,0,10.6667,0.0,8,0,0.0,4,100.0,0,0.0,0,34,76,0,0,0,0.0
22.5,5,1010123456002,74,1,2,8,1,0,18.0,3,0,0.010592,3,0,13.1667,0.0,0,0,0.0,0,0.0,0,0.0,0,3,4,0,0,0,0.0
22.75,5,1010123456002,74,1,2,8,1,0,0.0,4,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
23.0,8,1010123456002,74,1,2,8,1,0,18.0,9,0,0.020608,4,0,14.0,0.333333,18,0,0.1,7,0.0,0,8.99971,31,10,16,0,0,0,1.0
23.25,8,1010123456002,74,1,2,8,1,0,18.0,5,0,0.010304,2,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,5,8,0,0,0,0.0
23.5,10,1010123456002,74,1,2,8,1,0,18.0,5,0,0.005152,1,0,14.0,0.0,0,0,0.0,0,0.0,0,0.0,0,6,8,0,0,0,0.0
23.75,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.005152,1,0,13.3333,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
24.0,10,1010123456002,74,1,2,8,1,0,0.0,0,0,0.0,0,0,13.5,0.0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0.0
